Name,BaseURL,Keyword
CPPP1 eProcure,https://eprocure.gov.in/eprocure/app,Central Public Procurement Portal
CPPP2 eTenders,https://etenders.gov.in/eprocure/app,Central Public Procurement Portal 2
DefProc,https://defproc.gov.in/nicgep/app,Defence eProcurement
GePNIC,https://gepnic.gov.in/,NIC GePNIC Portal
NRRDA,https://pmgsytenders.gov.in/nicgep/app,PMGSY eProcurement
Arunachal Pradesh,https://arunachaltenders.gov.in/nicgep/app,Arunachal Pradesh
Chandigarh,https://etenders.chd.nic.in/nicgep/app,Chandigarh
